# bare-skip baseline -- every test case that calls `skip()` without saying why.
#
# See scripts/check_bare_skips.py for what this is and why it has no
# justification column. In short: `completed_clean_runs()` records a suite run
# as COMPLETE only when every case is a pass or an EXPLAINED skip, and this
# file pins the unexplained population so it cannot grow while it is burnt
# down.
#
# Regenerate with: python3 scripts/check_bare_skips.py --write-baseline
#
# Format: <source>\t<case title>\t<count of bare skips in that case>
# Line numbers are deliberately absent so an edit above a site does not
# invalidate the baseline -- the same reason
# scripts/shell-command-strings-baseline.txt omits them.
#
# The ratchet runs ONE WAY. A case whose bare-skip count EXCEEDS its row here
# (or that has no row) is refused by name. A row whose count has fallen is
# rewritten smaller by the next run and a row that has reached zero is dropped,
# so fixing a site costs you no manual edit -- commit the result.
#
# To fix a row: give the `skip()` a reason that names the condition, e.g.
#   skip("git not on PATH; this case needs a real repository")
# and delete nothing here -- the next run rewrites the file for you.
libs/repro_binary_cache_client/tests/test_publish_in_process.nim	a compressible prefix over the raw limit publishes compressed	1
libs/repro_binary_cache_client/tests/test_publish_in_process.nim	extractPrefix reads a zstd-compressed archive transparently	1
libs/repro_build_engine/tests/t_action_cache_output_integrity.nim	corrupted output is not handed to a downstream consumer	1
libs/repro_build_engine/tests/t_action_cache_output_integrity.nim	corrupted output preserving size and mtime is not reported up to date	1
libs/repro_build_engine/tests/t_action_cache_output_integrity.nim	warm re-run executes zero edges (performance regression guard)	1
libs/repro_build_engine/tests/t_declared_env_is_in_the_cache_key.nim	1. a changed DECLARED value re-runs the edge	1
libs/repro_build_engine/tests/t_declared_env_is_in_the_cache_key.nim	2. a changed PASSTHROUGH value does NOT re-run the edge	1
libs/repro_build_engine/tests/t_declared_env_is_in_the_cache_key.nim	3. a changed PASSTHROUGH NAME SET re-runs the edge	1
libs/repro_build_engine/tests/t_warm_noop_consultation_hashes_no_bytes.nim	a warm no-op of a metadata-only graph performs zero content digests	1
libs/repro_build_engine/tests/t_warm_noop_consultation_hashes_no_bytes.nim	the counter is per build, not cumulative	1
libs/repro_build_engine/tests/t_warm_noop_consultation_hashes_no_bytes.nim	the per-edge scheduler path also performs zero content digests	1
libs/repro_build_engine/tests/t_warm_noop_consultation_hashes_no_bytes.nim	the same graph in restore mode DOES hash bytes (counter control)	1
libs/repro_build_engine/tests/t_zero_evidence_edge_is_not_cacheable.nim	a non-cacheable store-tool edge is unaffected	1
libs/repro_build_engine/tests/t_zero_evidence_edge_is_not_cacheable.nim	automatic-monitor: a store-tool edge with one KEYED input still publishes	1
libs/repro_build_engine/tests/t_zero_evidence_edge_is_not_cacheable.nim	automatic-monitor: an observed set that the tool-root elision empties does not publish	1
libs/repro_build_engine/tests/t_zero_evidence_edge_is_not_cacheable.nim	converter-validated-by-monitor: one KEYED converted input still publishes	1
libs/repro_build_engine/tests/t_zero_evidence_edge_is_not_cacheable.nim	converter-validated-by-monitor: the elision emptying the key does not publish	1
libs/repro_build_engine/tests/t_zero_evidence_edge_is_not_cacheable.nim	recognized-format-validated-by-monitor: one KEYED input still publishes	1
libs/repro_build_engine/tests/t_zero_evidence_edge_is_not_cacheable.nim	recognized-format-validated-by-monitor: the elision emptying the key does not publish	1
libs/repro_build_engine/tests/t_zero_evidence_edge_is_not_cacheable.nim	the guard's SCOPE is graded: an edge outside it still publishes an elided-empty key	1
libs/repro_build_engine/tests/t_zero_output_edge_is_cacheable.nim	1. unchanged inputs: the run edge is not re-launched	1
libs/repro_build_engine/tests/t_zero_output_edge_is_cacheable.nim	2. changed input: the run edge is re-launched	1
libs/repro_build_engine/tests/t_zero_output_edge_is_cacheable.nim	3. changed test binary: the run edge is re-launched	1
libs/repro_build_engine/tests/t_zero_output_edge_is_cacheable.nim	4. a zero-output edge that has never run is still executed	1
